Pressure Velocity0 Velocity1 Velocity2 Viscosity0 Viscosity1 Viscosity2 Viscosity3 Viscosity4 Viscosity5 Viscosity6 Viscosity7 Viscosity8 Time VelocityInterpolationErrorBound0 VelocityInterpolationErrorBound1 VelocityInterpolationErrorBound2 vtkValidPointMask arc_length Points0 Points1 Points2
1.16365e-01 1.06212e-01 -1.88456e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.19900e-01 1.29900e-01 2.00000e-01 0.00000e+00
1.17899e-01 9.34534e-02 -1.79578e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.22080e-01 1.32080e-01 2.00000e-01 0.00000e+00
1.19444e-01 8.01755e-02 -1.92751e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.24260e-01 1.34260e-01 2.00000e-01 0.00000e+00
1.20790e-01 6.65478e-02 -1.95329e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.26440e-01 1.36440e-01 2.00000e-01 0.00000e+00
1.21863e-01 5.27708e-02 -1.61882e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.28620e-01 1.38620e-01 2.00000e-01 0.00000e+00
1.23293e-01 3.87639e-02 -1.53520e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.30800e-01 1.40800e-01 2.00000e-01 0.00000e+00
1.24686e-01 2.51128e-02 -2.10381e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.32980e-01 1.42980e-01 2.00000e-01 0.00000e+00
1.25854e-01 1.35985e-02 -1.16221e-03 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.35160e-01 1.45160e-01 2.00000e-01 0.00000e+00
1.28626e-01 5.36129e-03 -2.09002e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.37340e-01 1.47340e-01 2.00000e-01 0.00000e+00
1.31872e-01 -7.43886e-04 3.61909e-04 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 1.39520e-01 1.49520e-01 2.00000e-01 0.00000e+00
1.52321e-02 -1.60311e-04 4.93835e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 2.41980e-01 2.51980e-01 2.00000e-01 0.00000e+00
1.50432e-02 -1.39387e-03 1.31792e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 2.44160e-01 2.54160e-01 2.00000e-01 0.00000e+00
1.48543e-02 -2.62745e-03 -2.30257e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 2.46340e-01 2.56340e-01 2.00000e-01 0.00000e+00
1.46653e-02 -3.86103e-03 -5.92305e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 2.48520e-01 2.58520e-01 2.00000e-01 0.00000e+00
1.44764e-02 -5.09459e-03 -9.54348e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e+01 1.00000e-02 1.00000e-02 0.00000e+00 1 2.50700e-01 2.60700e-01 2.00000e-01 0.00000e+00
